Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
1.1354600000000001E+2	-1.0000000000000000E+0	-1.8764817255600971E-8	4.7999998927116388E-1	4.5902513789997101E-8
1.1454700000000000E+2	-1.0000000000000000E+0	-2.1144318296251189E-8	5.4000002145767212E-1	4.6933294584050600E-8
1.1554800000000000E+2	-1.0000000000000000E+0	-1.8447661176423938E-8	4.7999998927116388E-1	3.3163249923973132E-8
1.1654700000000000E+2	-1.0000000000000000E+0	-1.6001248326347192E-8	4.1999998688697809E-1	2.4585103730601080E-8
1.1754800000000000E+2	-1.0000000000000000E+0	-1.3827896161444640E-8	3.6000001430511469E-1	1.7329705670476869E-8
1.1931600000000000E+2	-1.0000000000000000E+0	-1.1732018023735691E-8	3.0000001192092901E-1	1.1250174125621020E-8
1.1954700000000000E+2	-1.0000000000000000E+0	-1.0183489607129560E-8	2.3999999463558200E-1	8.2456592664925665E-9
1.2061499999999999E+2	-1.0000000000000000E+0	-8.5198044175172072E-9	1.8000000715255740E-1	4.6676515985666364E-9
1.2154700000000000E+2	-1.0000000000000000E+0	-7.2733521427892364E-9	1.1999999731779100E-1	1.8917440947063820E-9
1.2254800000000000E+2	-1.0000000000000000E+0	-6.1975362619648422E-9	5.9999998658895493E-2	-4.7591924845491462E-10
1.2354700000000000E+2	-1.0000000000000000E+0	-5.3161262059120418E-9	0.0000000000000000E+0	-2.5281430282575461E-9
1.2454700000000000E+2	-1.0000000000000000E+0	-4.6646477791512097E-9	-5.9999998658895493E-2	-4.3626546819552914E-9
1.2554700000000000E+2	-1.0000000000000000E+0	-3.7442324796188586E-9	-1.1999999731779100E-1	-5.9720757228376442E-9
1.2654800000000000E+2	-1.0000000000000000E+0	-3.1858087279346141E-9	-1.8000000715255740E-1	-7.5859665216171379E-9
1.2754800000000000E+2	-1.0000000000000000E+0	-2.6860953461493860E-9	-2.3999999463558200E-1	-9.2228296111329655E-9
1.2854599999999999E+2	-1.0000000000000000E+0	-2.2912025610111190E-9	-3.0000001192092901E-1	-1.0863399957372620E-8
1.2954599999999999E+2	-1.0000000000000000E+0	-2.0026087454994008E-9	-3.6000001430511469E-1	-1.2512266778230699E-8
1.3054599999999999E+2	-1.0000000000000000E+0	-1.8343806473808399E-9	-4.1999998688697809E-1	-1.4133763492907290E-8
1.3154599999999999E+2	-1.0000000000000000E+0	-1.8015742231369809E-9	-4.7999998927116388E-1	-1.5664113561797421E-8
1.3254700000000000E+2	-1.0000000000000000E+0	-1.9650341354093830E-9	-5.4000002145767212E-1	-1.7087293358031271E-8
1.3354700000000000E+2	-1.0000000000000000E+0	-2.4033188772420999E-9	-6.0000002384185791E-1	-1.8359161302328178E-8
1.3454800000000000E+2	-1.0000000000000000E+0	-3.1825782009775590E-9	-6.6000002622604370E-1	-1.9438147091932478E-8
1.3554800000000000E+2	-1.0000000000000000E+0	-4.6986223800615789E-9	-7.2000002861022949E-1	-2.0063769312628210E-8
1.3661500000000001E+2	-1.0000000000000000E+0	-7.1708918802926291E-9	-7.7999997138977051E-1	-2.1396720839561570E-8
1.3754700000000000E+2	-1.0000000000000000E+0	-1.3190174286137340E-8	-8.3999997377395630E-1	-2.0320284122021800E-8
1.3899100000000001E+2	-1.0000000000000000E+0	-1.8477880558975809E-8	-8.9999997615814209E-1	-2.3554015626814359E-8
1.3954900000000001E+2	-1.0000000000000000E+0	-3.0670260997567311E-8	-9.5999997854232788E-1	-2.3945654348267450E-8
