Ciclo,VG,IDS (A),IGS (A),Razão IDS/IGS,Razão on/off,direction,Valor Máximo IDS,Valor Mínimo IDS
14,-2.5,1.366577089356724e-05,-9.532686817692593e-08,-143.35696907826318,1573.153443061426,volta,1.366577089356724e-05,8.686864561013861e-09
15,-2.5,1.380845242238138e-05,-9.619066787536211e-08,-143.55293218541237,1521.5229597077084,volta,1.380845242238138e-05,9.075415086101657e-09
16,-2.5,1.405614602845162e-05,-9.608416462469904e-08,-146.2899332408662,1755.050710207283,volta,1.405614602845162e-05,8.008968599426679e-09
17,-2.5,1.43342249430134e-05,-9.579758852851229e-08,-149.63033165231602,1566.099626429758,volta,1.43342249430134e-05,9.152818059021682e-09
18,-2.5,1.44306177389808e-05,-9.654625898747327e-08,-149.4684298524001,1535.3807337936676,volta,1.44306177389808e-05,9.398722689013539e-09
19,-2.5,1.456521749787498e-05,-9.741417272834953e-08,-149.5184642022444,1492.5185139813566,volta,1.456521749787498e-05,9.758818642069398e-09
20,-2.5,1.4999674931459588e-05,-1.0200273692362321e-07,-147.05169080601164,1501.8111860755944,volta,1.4999674931459588e-05,9.987723537108194e-09
21,-2.5,1.5135287867451552e-05,-1.030749103847484e-07,-146.83774946741124,1543.2168420617945,volta,1.5135287867451552e-05,9.807622269875081e-09
22,-2.5,1.528917528048623e-05,-1.0361313940165931e-07,-147.56019717940697,1619.3227571441203,volta,1.528917528048623e-05,9.441709636348604e-09
23,-2.5,1.532944406790193e-05,-1.03937388473696e-07,-147.48729300410923,1592.8421623070296,volta,1.532944406790193e-05,9.623956742643712e-09
24,-2.5,1.54979461512994e-05,-1.041868955553582e-07,-148.75139592833716,1508.230994981274,volta,1.54979461512994e-05,1.027557861021933e-08
25,-2.5,1.569154301250819e-05,-1.0593723942520233e-07,-148.12112433406674,1596.1192155709177,volta,1.569154301250819e-05,9.831059522014128e-09
26,-2.5,1.596123001945671e-05,-1.054421687740614e-07,-151.37425761469302,1571.683532948665,volta,1.596123001945671e-05,1.0155498664232708e-08
27,-2.5,1.601248914084863e-05,-1.0675108086388721e-07,-149.9983795130405,1660.325489536247,volta,1.601248914084863e-05,9.644186782509223e-09
28,-2.5,1.613119820831344e-05,-1.0791194426929001e-07,-149.48482596197755,1530.7049761335588,volta,1.613119820831344e-05,1.053841103271225e-08
29,-2.5,1.631164559512399e-05,-1.0822820684097681e-07,-150.71529013772923,1567.1255154945093,volta,1.631164559512399e-05,1.040864017198828e-08
30,-2.5,1.644330041017383e-05,-1.093660557671683e-07,-150.35104169048867,1634.5247886821562,volta,1.644330041017383e-05,1.005998839787026e-08
31,-2.5,1.653273102419917e-05,-1.095188864042029e-07,-150.95780798191817,1600.8758814225926,volta,1.653273102419917e-05,1.03273034568474e-08
32,-2.5,1.667330252530519e-05,-1.0951220730248681e-07,-152.25062973346326,1579.619095141227,volta,1.667330252530519e-05,1.055526777093974e-08
33,-2.5,1.677087493590079e-05,-1.0940384953528341e-07,-153.2932799635362,1650.5499883260695,volta,1.677087493590079e-05,1.016077977311625e-08
34,-2.5,1.679085471550934e-05,-1.090891359467605e-07,-153.91866999206863,1523.4939618541878,volta,1.679085471550934e-05,1.102128077690168e-08
35,-2.5,1.699385575193446e-05,-1.0741603517772091e-07,-158.20594870978022,1545.05316312919,volta,1.699385575193446e-05,1.099888091715684e-08
36,-2.5,1.70012117450824e-05,-1.0780024695122851e-07,-157.71032280449384,1829.0052279780243,volta,1.70012117450824e-05,9.295332503711505e-09
37,-2.5,1.726672599033918e-05,-1.066249595282898e-07,-161.93887497568485,1550.7717708336993,volta,1.726672599033918e-05,1.113427927634802e-08
38,-2.5,1.71279189089546e-05,-1.0875129419218873e-07,-157.49623060747766,1549.296084220398,volta,1.71279189089546e-05,1.105529090494883e-08
39,-2.5,1.747087117109913e-05,-1.0911726633366921e-07,-160.11096830152462,1549.6466559126122,volta,1.747087117109913e-05,1.12740998758909e-08
