Time (s)	VDS	IDS	VG	IGS
1.2999799999999999E+2	-1.0000000000000000E+0	-1.3777613494525549E-9	-2.3999999463558200E-1	-1.1730504567708520E-8
1.3099700000000001E+2	-1.0000000000000000E+0	-8.0516338041292101E-10	-3.0000001192092901E-1	-1.3668942422384591E-8
1.3200000000000000E+2	-1.0000000000000000E+0	-4.9039128313665969E-10	-3.6000001430511469E-1	-1.5459335145351360E-8
1.3299799999999999E+2	-1.0000000000000000E+0	-5.9512855754562110E-10	-4.1999998688697809E-1	-1.6503847177773420E-8
1.3401499999999999E+2	-1.0000000000000000E+0	-1.4230608913479159E-9	-4.7999998927116388E-1	-1.8019843395222779E-8
1.3499600000000001E+2	-1.0000000000000000E+0	-3.4877181143144749E-9	-5.4000002145767212E-1	-1.8777788213242271E-8
1.3599600000000001E+2	-1.0000000000000000E+0	-8.0286977066634790E-9	-6.0000002384185791E-1	-1.9266641615445220E-8
1.3699700000000001E+2	-1.0000000000000000E+0	-1.7295111121029549E-8	-6.6000002622604370E-1	-1.9625627345476460E-8
1.3799700000000001E+2	-1.0000000000000000E+0	-3.5324131175684670E-8	-7.2000002861022949E-1	-1.9809258233749460E-8
1.3899799999999999E+2	-1.0000000000000000E+0	-6.8699755217949132E-8	-7.7999997138977051E-1	-2.0122636001929098E-8
1.3999799999999999E+2	-1.0000000000000000E+0	-1.4058244346415449E-7	-8.3999997377395630E-1	-1.8479145325045468E-8
1.4160400000000001E+2	-1.0000000000000000E+0	-2.1483432988134149E-7	-8.9999997615814209E-1	-2.2881961214693550E-8
1.4199700000000001E+2	-1.0000000000000000E+0	-3.6357437238621060E-7	-9.5999997854232788E-1	-2.3226892409411451E-8
1.4299900000000000E+2	-1.0000000000000000E+0	-5.7331146763317520E-7	-1.0199999809265139E+0	-2.3588096809135098E-8
1.4406600000000000E+2	-1.0000000000000000E+0	-8.5910079405948636E-7	-1.0800000429153440E+0	-2.6416099530024439E-8
1.4500000000000000E+2	-1.0000000000000000E+0	-1.2292945257286190E-6	-1.1399999856948850E+0	-2.8155850984035169E-8
1.4601599999999999E+2	-1.0000000000000000E+0	-1.6369735931220930E-6	-1.2000000476837160E+0	-3.1805420519503968E-8
1.4699700000000001E+2	-1.0000000000000000E+0	-2.1061980532977032E-6	-1.2599999904632571E+0	-3.5280372401302877E-8
1.4799799999999999E+2	-1.0000000000000000E+0	-2.6056479782710080E-6	-1.3200000524520870E+0	-3.9268325480179562E-8
1.4899700000000001E+2	-1.0000000000000000E+0	-3.1269978535419800E-6	-1.3799999952316280E+0	-4.3289031026461089E-8
1.4999799999999999E+2	-1.0000000000000000E+0	-3.6649189496529289E-6	-1.4400000572204590E+0	-4.7498048161287443E-8
1.5099600000000001E+2	-1.0000000000000000E+0	-4.2142460188188116E-6	-1.5000000000000000E+0	-5.1700769887474962E-8
1.5199700000000001E+2	-1.0000000000000000E+0	-4.7680782699899282E-6	-1.5599999427795410E+0	-5.6134616954750527E-8
1.5299700000000001E+2	-1.0000000000000000E+0	-5.3168687372817658E-6	-1.6200000047683720E+0	-6.0780784849612246E-8
1.5399700000000001E+2	-1.0000000000000000E+0	-5.8527621149551123E-6	-1.6799999475479130E+0	-6.5710118235529080E-8
1.5499799999999999E+2	-1.0000000000000000E+0	-6.3729107750987168E-6	-1.7400000095367429E+0	-7.0969797150155500E-8
1.5599799999999999E+2	-1.0000000000000000E+0	-6.8721710704267017E-6	-1.7999999523162840E+0	-7.6583290820053662E-8
1.5699799999999999E+2	-1.0000000000000000E+0	-7.3523792707419489E-6	-1.8600000143051150E+0	-8.2490828390291426E-8
1.5799900000000000E+2	-1.0000000000000000E+0	-7.8156208473956212E-6	-1.9199999570846560E+0	-8.8844046786107355E-8
1.5899700000000001E+2	-1.0000000000000000E+0	-8.4097418948658742E-6	-1.9800000190734861E+0	-8.8823220778522227E-8
1.6124700000000001E+2	-1.0000000000000000E+0	-8.8182196122943424E-6	-2.0399999618530269E+0	-9.8923770508463349E-8
1.6199799999999999E+2	-1.0000000000000000E+0	-9.2490909082698636E-6	-2.0999999046325679E+0	-1.0844457420944310E-7
1.6301599999999999E+2	-1.0000000000000000E+0	-9.6687335826572962E-6	-2.1600000858306880E+0	-1.1573410318987949E-7
1.6399799999999999E+2	-1.0000000000000000E+0	-1.0091244803334121E-5	-2.2200000286102290E+0	-1.2451386055545299E-7
1.6501599999999999E+2	-1.0000000000000000E+0	-1.0478973308636340E-5	-2.2799999713897710E+0	-1.3455760949909751E-7
1.6599799999999999E+2	-1.0000000000000000E+0	-1.0871755875996311E-5	-2.3399999141693120E+0	-1.4483367749562601E-7
